run_id,timestamp,grid_carbon_intensity,decision,training_co2,energy_consumed,training_duration
1,2026-09-24T07:01:37.359650,618,PROCEED,1.276068302013856e-06,1.7886108339916769e-06,0.6814788000046974
2,2026-09-24T07:01:57.914003,618,PROCEED,8.046532430794272e-07,1.1278483337506918e-06,0.5949400999961654
3,2026-09-24T07:02:16.605005,618,PROCEED,1.706742312253131e-06,2.3922683336858004e-06,0.7370892000035383
4,2026-09-24T07:02:41.118808,618,PROCEED,1.1853978778816429e-06,1.6615219448863229e-06,0.6292363000029582
5,2026-09-24T07:03:05.978456,618,PROCEED,1.7708394364001783e-06,2.482110554902477e-06,0.714909299997089
6,2026-09-24T07:03:35.822243,618,PROCEED,1.5301833023471363e-06,2.1447930555534883e-06,0.9543153999984496
7,2026-09-24T07:04:02.071162,618,PROCEED,1.1917661314424456e-06,1.6704480558903196e-06,0.5961648000011337
8,2026-09-24T07:04:25.062528,618,PROCEED,2.2951888455434446e-06,3.217068889429462e-06,0.8697882999986177
9,2026-09-24T07:04:45.032020,618,PROCEED,1.0697936813671538e-06,1.4994844442177473e-06,0.6311906000046292
10,2026-09-24T07:05:02.932179,618,PROCEED,1.5184666196804947e-06,2.128370278243744e-06,0.6803320000035455
