run,experiment,co2_kg,energy_kwh,duration_s,accuracy
1,Baseline,7.570332360666291e-07,1.0611013889959073e-06,0.9763382000019192,78.69
2,Baseline,1.13087334763146e-06,1.585097222659561e-06,0.8817429999980959,78.69
3,Baseline,1.6594596048360937e-06,2.325994167472985e-06,1.0530639000062365,78.69
4,Baseline,6.934214495034331e-07,9.71939444892336e-07,0.4831867000029888,78.69
5,Baseline,9.97623575231418e-07,1.398326666439717e-06,0.8151646000042092,78.69
6,Baseline,1.6867798362163697e-06,2.3642877774285046e-06,0.8086044000010588,78.69
7,Baseline,1.2704317213645866e-06,1.780710277885048e-06,0.6111345000026631,78.69
8,Baseline,1.1443970179812454e-06,1.6040527779889933e-06,0.6338402999972459,78.69
9,Baseline,1.2797928593913208e-06,1.7938313881474725e-06,0.8644004000016139,78.69
10,Baseline,1.146895845410059e-06,1.6075552784463735e-06,0.6452786000008928,78.69
1,Carbon-Aware,1.276068302013856e-06,1.7886108339916769e-06,0.6814788000046974,78.69
2,Carbon-Aware,8.046532430794272e-07,1.1278483337506918e-06,0.5949400999961654,78.69
3,Carbon-Aware,1.706742312253131e-06,2.3922683336858004e-06,0.7370892000035383,78.69
4,Carbon-Aware,1.1853978778816429e-06,1.6615219448863229e-06,0.6292363000029582,78.69
5,Carbon-Aware,1.7708394364001783e-06,2.482110554902477e-06,0.714909299997089,78.69
6,Carbon-Aware,1.5301833023471363e-06,2.1447930555534883e-06,0.9543153999984496,78.69
7,Carbon-Aware,1.1917661314424456e-06,1.6704480558903196e-06,0.5961648000011337,78.69
8,Carbon-Aware,2.2951888455434446e-06,3.217068889429462e-06,0.8697882999986177,78.69
9,Carbon-Aware,1.0697936813671538e-06,1.4994844442177473e-06,0.6311906000046292,78.69
10,Carbon-Aware,1.5184666196804947e-06,2.128370278243744e-06,0.6803320000035455,78.69
